Bank,Credit Card,Photo Direct Link,Points or Cashback?,"If Points, Type?",General Cashback,Restaurants,Groceries,Drug Store,Gas,Travel,Entertainment,Bill Payments,Store,Cashback,Notes
RBC,RBC Avion Visa Infinite,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/iav_infiniteavion_en_sm.png,Points,RBC,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,,,
RBC,RBC Rewards+ Visa,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/rvc_rewardsplus_en_sm.png,Points,RBC,0.57%,0.57%,1.14%,1.14%,1.14%,0.57%,0.57%,0.57%,,,
RBC,RBC Cash Back Preferred World Elite Mastercard,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/mcp_cashbackpreferred_en_sm.png,Cashback,,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,,,
RBC,RBC Cash Back Mastercard,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/mc1_cashbackmc_en_sm.png,Cashback,,1%,1%,2%,1%,1%,1%,1%,1%,,,
RBC,RBC Visa Classic Low Rate Option,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/clo_classiclowrate_en_sm.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
RBC,WestJet RBC World Elite Mastercard,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/mc4_wjwe_worldelite_en_sm.png,Points,WestJet,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,"WestJet Flights, WestJet Vacations",2%,
RBC,RBC Avion Visa Infinite Privilege,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/avp_infinite_en_sm.png,Points,RBC,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,,,
RBC,Signature RBC Rewards Visa,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/cl2_signaturerewards_en_sm.png,Points,RBC,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,,,
RBC,RBC Avion Visa Platinum,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/gcp_platinumavion_en_sm.png,Points,RBC,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,,,
RBC,RBC Visa Platinum,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/plt_platinum_en_sm.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
